voip,file_transfer,chat,email,vpn_chat,vpn_voip,p2p,streaming,vpn_file_transfer,vpn_streaming,vpn_p2p,vpn_email
0.981418848,0.98094666,0.974741638,0.938041687,0.941372275,0.9567976,0.957456589,0.947335184,0.963571548,0.946191788,0.957198441,0.943508446
0.981015921,0.982625961,0.976186991,0.939742208,0.942927241,0.957450926,0.96370399,0.95572865,0.966105461,0.93835938,0.957198441,0.949454904
0.980211794,0.979157925,0.977383673,0.948371232,0.950227439,0.963337541,0.958596647,0.946929336,0.963413239,0.940404773,0.957198441,0.95044601
0.981991708,0.980862558,0.978530765,0.946668744,0.947324753,0.957738876,0.959108353,0.949630797,0.964373767,0.945068717,0.958171189,0.946481705
0.978265524,0.982590258,0.98091346,0.944901824,0.942291617,0.962727487,0.96153146,0.953522623,0.968224645,0.948605418,0.959143996,0.945490599
0.982265294,0.982039452,0.978220224,0.945746422,0.943467498,0.959706187,0.963754773,0.955810666,0.970375836,0.948540092,0.960116744,0.95044601
0.982471824,0.980642676,0.979112089,0.949817061,0.953503251,0.962748051,0.961037874,0.951177537,0.968914807,0.944526911,0.960116744,0.95044601
0.982740164,0.982655287,0.98123914,0.95211184,0.949970722,0.961858034,0.960861742,0.956122756,0.96602416,0.948000014,0.959143996,0.947472751
0.983570337,0.983161747,0.979062676,0.945103407,0.946302354,0.962236285,0.967353344,0.955178857,0.967462063,0.951732457,0.959143996,0.948463857
0.981280327,0.983102202,0.982818484,0.95083487,0.947817922,0.963936329,0.963769555,0.958705425,0.965653419,0.950769782,0.960116744,0.951437116
0.982030034,0.980559826,0.981907725,0.953570127,0.951254129,0.964580894,0.962920785,0.953613758,0.969458461,0.952790618,0.960116744,0.951437116
0.985418677,0.983505964,0.981235027,0.953806579,0.952648699,0.96490401,0.96581912,0.956495762,0.968938708,0.947365999,0.960116744,0.951437116
0.981782734,0.982215166,0.97924912,0.951497018,0.952912211,0.964105487,0.96592766,0.958731472,0.969095707,0.950207829,0.959143996,0.949454904
0.983921289,0.983869433,0.981284738,0.954083979,0.950336754,0.96982789,0.965522289,0.955879688,0.965782642,0.951676726,0.960116744,0.949454904
0.983100414,0.982904792,0.980487585,0.950909853,0.954983234,0.967170358,0.964729548,0.95854038,0.968547821,0.951329231,0.96206224,0.951437116
0.985453248,0.983701229,0.980998158,0.954056501,0.955479026,0.966163337,0.969762206,0.962871313,0.971715331,0.950988293,0.96595329,0.953419268
0.98264575,0.983976722,0.981312394,0.952630043,0.959824443,0.965640604,0.964341402,0.959691405,0.973572969,0.949501395,0.964007795,0.954410315
0.984674096,0.984770715,0.982896805,0.957359552,0.954867959,0.96697855,0.967845619,0.958534777,0.971251249,0.955307245,0.963035047,0.951437116
0.981754839,0.98516643,0.983283281,0.95478344,0.960204959,0.970390677,0.966793001,0.965160251,0.969865084,0.952879548,0.96206224,0.95044601
0.984071612,0.984170675,0.983304918,0.954634547,0.961340308,0.968788981,0.969405949,0.960926056,0.968831301,0.952275038,0.964007795,0.951437116
0.985452771,0.982746184,0.984403253,0.959364712,0.95360291,0.968818069,0.968090475,0.964689791,0.973492384,0.957826614,0.96595329,0.957383573
0.984864712,0.983478129,0.980907857,0.958013654,0.961112261,0.970589697,0.96741581,0.958176434,0.973195791,0.95942688,0.964007795,0.954410315
0.987358689,0.984170675,0.982562423,0.958404899,0.96545279,0.968068182,0.970107019,0.963179708,0.968682051,0.955716908,0.964007795,0.95044601
0.982239902,0.9865762,0.980776489,0.95458746,0.962319255,0.969760299,0.974007249,0.965684593,0.97145462,0.954410195,0.963035047,0.955401421
0.983187437,0.984487295,0.985415697,0.960350156,0.956669688,0.970932841,0.967046857,0.961201787,0.971388459,0.95961678,0.964007795,0.955401421
0.985432863,0.985987604,0.984384179,0.961634398,0.959620118,0.971949935,0.968425155,0.966545999,0.971949041,0.958767474,0.966926098,0.95044601
0.985966742,0.98404336,0.985518098,0.958858192,0.963838696,0.973495483,0.97009331,0.962076783,0.974880457,0.956009507,0.966926098,0.95044601
0.987823904,0.983613789,0.983916044,0.958763719,0.961665511,0.97410506,0.970770955,0.96151942,0.973423004,0.958519697,0.966926098,0.956392467
0.98556608,0.986297965,0.984222651,0.961643398,0.964380383,0.969980836,0.969420671,0.967007756,0.973128557,0.958063602,0.967898846,0.957383573
0.985007882,0.986216664,0.984361887,0.96498853,0.957548738,0.971364141,0.968853652,0.968944907,0.976131558,0.958906591,0.968871593,0.954410315
0.984231293,0.98487711,0.986215293,0.959207892,0.963298202,0.972020268,0.9735111,0.965566576,0.973392963,0.960554659,0.967898846,0.951437116
0.987634599,0.98476845,0.984756351,0.960512817,0.961224079,0.972296178,0.975971043,0.964459836,0.972568393,0.962592244,0.964980543,0.956392467
0.984705806,0.987055659,0.983629048,0.966957569,0.963250637,0.973213315,0.97118187,0.968912244,0.975062013,0.959629297,0.966926098,0.959365726
0.984958827,0.986922741,0.987637639,0.961416721,0.965263963,0.974033713,0.972577095,0.966293871,0.975861847,0.957785487,0.966926098,0.957383573
0.987283945,0.989435554,0.987004757,0.964745522,0.966486633,0.974408031,0.973658383,0.969492793,0.976143122,0.961463749,0.968871593,0.956392467
0.988087475,0.987154305,0.983082652,0.962919831,0.965145767,0.974690557,0.974885345,0.970708311,0.977974772,0.963376403,0.968871593,0.957383573
0.987433314,0.987632334,0.983810663,0.965564966,0.964928031,0.976884127,0.975499868,0.969655216,0.975732923,0.963739872,0.96595329,0.959365726
0.987169862,0.986664951,0.987258375,0.964519858,0.966791272,0.975422084,0.97314173,0.966860175,0.97225523,0.963096976,0.966926098,0.958374679
0.986991525,0.985391974,0.986042142,0.963690519,0.965482414,0.973504066,0.976957858,0.970529199,0.980028987,0.961575389,0.966926098,0.956392467
0.986682415,0.988035798,0.985230207,0.965407848,0.960736156,0.977076888,0.973279893,0.971847892,0.975590467,0.965338707,0.96595329,0.960356832
0.988164067,0.986841917,0.983446121,0.96791625,0.967365026,0.97198534,0.974376798,0.972550869,0.976374328,0.962086678,0.966926098,0.959365726
0.988485515,0.988443494,0.985971689,0.967355907,0.969147801,0.977089226,0.976728559,0.968882024,0.977593839,0.966428101,0.968871593,0.957383573
0.988188922,0.988215327,0.986325026,0.962916136,0.969259977,0.976878643,0.97511375,0.971527398,0.978803992,0.962581933,0.966926098,0.958374679
0.985721231,0.987576544,0.98723197,0.965783834,0.969251812,0.975589156,0.976614118,0.9719733,0.978120327,0.965618134,0.966926098,0.96333003
0.988708019,0.985635519,0.988429308,0.970400453,0.968329787,0.977130413,0.976856112,0.968090296,0.97752893,0.966775358,0.968871593,0.961347878
0.985699713,0.987442374,0.987220168,0.964874387,0.969651461,0.975107312,0.975887656,0.972327709,0.979159951,0.96408838,0.967898846,0.959365726
0.988909543,0.988292456,0.986195683,0.963620305,0.973112941,0.977736115,0.97570014,0.973601937,0.977185607,0.960220098,0.966926098,0.96333003
0.988940239,0.986808658,0.98525238,0.968204856,0.96710217,0.977657914,0.978815794,0.971247077,0.976950288,0.969190955,0.966926098,0.965312243
0.987356007,0.989152551,0.985551834,0.967225909,0.966068029,0.977074862,0.976019025,0.972784996,0.975405574,0.966844618,0.968871593,0.961347878
