vpn_file_transfer,voip,streaming,vpn_voip,file_transfer,p2p,vpn_streaming,vpn_p2p
0.594,0.887475648,0.875717952,0.818019822,0.937724112,0.912141932,0.224,0.513
0.594,0.892933348,0.830999984,0.753537253,0.964647709,0.911686672,0.224,0.513
0.594,0.887475648,0.892811968,0.787162617,0.961265026,0.919387235,0.224,0.513
0.594,0.888520041,0.909300878,0.764146522,0.934275864,0.908366813,0.224,0.513
0.594,0.903753379,0.877413227,0.809172824,0.964873253,0.911223961,0.224,0.513
0.594,0.887250343,0.876579835,0.798125997,0.957830964,0.889935447,0.224,0.513
0.594,0.880597809,0.876152529,0.785415605,0.978805779,0.919387235,0.224,0.513
0.594,0.891517141,0.859773113,0.773257807,0.978857158,0.943156732,0.224,0.513
0.594,0.900197366,0.86962296,0.768280879,0.951277791,0.874981595,0.224,0.513
0.594,0.906608084,0.847634925,0.780463472,0.944904088,0.88209231,0.224,0.513
0.594,0.89760057,0.845032765,0.778008178,0.931945919,0.88931544,0.224,0.513
0.594,0.885299423,0.892217412,0.778431848,0.888597427,0.897220565,0.224,0.513
0.594,0.877950945,0.876152529,0.75759168,0.924775539,0.919783844,0.224,0.513
0.594,0.896669903,0.839,0.776459351,0.958027957,0.896653665,0.224,0.513
0.594,0.902747014,0.885333313,0.778852418,0.951517223,0.896653665,0.224,0.513
0.594,0.913428226,0.876579835,0.772385016,0.958222209,0.919783844,0.224,0.513
0.594,0.88622103,0.846354856,0.780463472,0.964723407,0.890545799,0.224,0.513
0.594,0.891740659,0.891912295,0.778008178,0.951517223,0.897220565,0.224,0.513
0.594,0.883747437,0.876999988,0.787954107,0.943746506,0.919783844,0.224,0.513
0.594,0.878898838,0.892517223,0.790936187,0.964873253,0.893563641,0.224,0.513
0.594,0.890660086,0.893942132,0.805036739,0.944904088,0.84614457,0.224,0.513
0.594,0.900386134,0.891912295,0.79919006,0.958027957,0.907142354,0.224,0.513
0.594,0.895468095,0.878219499,0.772822991,0.925597309,0.861902965,0.224,0.513
0.594,0.889359274,0.884627118,0.786983565,0.964723407,0.896653665,0.224,0.513
0.594,0.904104629,0.853829278,0.802935377,0.964798568,0.919186486,0.224,0.513
0.594,0.891952553,0.772588207,0.778852418,0.924775539,0.911456241,0.224,0.513
0.594,0.881572702,0.892517223,0.774741844,0.978673993,0.88209231,0.224,0.513
0.594,0.899698654,0.84825982,0.782932893,0.964947341,0.935308947,0.224,0.513
0.594,0.889832714,0.892811968,0.772385016,0.944620667,0.912141932,0.224,0.513
0.594,0.89647285,0.83176191,0.804361478,0.929143785,0.86874993,0.224,0.513
0.594,0.889802018,0.877819671,0.837046102,0.971714257,0.876412763,0.224,0.513
0.594,0.899035612,0.909608676,0.746394411,0.954858123,0.897220565,0.224,0.513
0.594,0.895974555,0.80888976,0.784614042,0.964947341,0.897500647,0.224,0.513
0.594,0.899131277,0.876579835,0.805036739,0.951517223,0.896938218,0.224,0.513
0.594,0.882053414,0.886349573,0.808531836,0.971815585,0.890545799,0.224,0.513
0.594,0.879638174,0.927,0.798838034,0.971611498,0.919586314,0.224,0.513
0.594,0.893247047,0.840385808,0.800868944,0.958222209,0.893268002,0.224,0.513
0.594,0.889182606,0.860884323,0.776459351,0.950912295,0.905125691,0.224,0.513
0.594,0.891740659,0.86299999,0.793963686,0.965020953,0.86874993,0.224,0.513
0.594,0.894554117,0.861959352,0.762859121,0.964873253,0.890545799,0.224,0.513
0.594,0.894961217,0.892811968,0.75972946,0.958222209,0.892969979,0.224,0.513
