vpn_streaming,vpn_file_transfer,streaming,email,vpn_p2p,p2p,file_transfer,vpn_chat,voip,chat,vpn_voip,vpn_email
0.580190221,0.719324216,0.620381814,0.84649842,0.569511257,0.719506617,0.987690721,0.865068596,0.983795438,0.937482309,0.798670986,0.416534539
0.612001518,0.720739469,0.632006448,0.86112999,0.571486376,0.752735789,0.962999974,0.882567506,0.983754967,0.931124699,0.80569742,0.267135139
0.567268471,0.72055535,0.625247163,0.860786548,0.570708177,0.739040072,0.938298498,0.870372754,0.983632181,0.931825948,0.801375666,0.430952723
0.58593605,0.728322491,0.64529441,0.870247712,0.574385665,0.733992155,0.962646459,0.879673224,0.978000019,0.936463487,0.796689132,0.424236711
0.611705283,0.72252284,0.62407921,0.862604132,0.574046991,0.752294118,0.971821998,0.871189039,0.978113626,0.93024416,0.797581175,0.47999924
0.631241957,0.725098714,0.661622804,0.865461459,0.573113344,0.723539169,0.977487181,0.886154812,0.986604009,0.947992873,0.817129949,0.476868327
0.607961873,0.727238938,0.663757008,0.862385085,0.576530359,0.740960772,0.967849229,0.889522117,0.989428554,0.947992873,0.800238052,0.372586604
0.606111268,0.726194843,0.649902803,0.875027468,0.577979527,0.748821611,0.972093258,0.877641481,0.980954562,0.944717657,0.798710802,0.394242402
0.611590187,0.730213448,0.653154713,0.880833914,0.579296909,0.768741186,0.972619269,0.894448202,0.992252861,0.947674823,0.827639201,0.425843831
0.616410057,0.72517465,0.659902674,0.886826029,0.576328955,0.761464651,0.977695439,0.890574079,0.978113626,0.952040982,0.814216414,0.404225047
0.608838002,0.724033281,0.654782873,0.879982402,0.578618012,0.76344722,0.962999974,0.891086858,0.995134686,0.951054406,0.792547801,0.479286368
0.617452363,0.72921817,0.671427828,0.889301171,0.580540202,0.785300012,0.977274631,0.907222431,0.995142851,0.954213989,0.82113544,0.36100256
0.625113288,0.724622413,0.662006599,0.893903484,0.580475769,0.768005724,0.987795923,0.918775838,0.986538682,0.943835211,0.830549338,0.373439784
0.61572514,0.715125665,0.670656842,0.886575868,0.583509348,0.792342241,0.96282414,0.890780252,0.978000019,0.943348121,0.823008338,0.509873684
0.633226136,0.723772213,0.671245378,0.891747584,0.580935381,0.774808462,0.992897962,0.902769488,0.995118175,0.951459241,0.823797801,0.460640247
0.612076024,0.731042191,0.663500708,0.889159491,0.584311746,0.803165073,0.958198998,0.887617987,0.972719107,0.943277728,0.828281978,0.496343608
0.636184911,0.727927372,0.685468119,0.89370667,0.586169622,0.781442936,0.982455943,0.904133421,0.983632181,0.958455932,0.824772039,0.477379795
0.644930045,0.724639937,0.668758732,0.900021067,0.588731788,0.770889039,0.977797959,0.917344492,0.989428554,0.953890335,0.827270606,0.27642041
0.623933057,0.729138121,0.69697116,0.897389164,0.587635479,0.770320053,0.96282414,0.909715038,0.983673368,0.964080703,0.832672754,0.416325624
0.609143476,0.731472596,0.679834288,0.906191816,0.589431963,0.775839205,0.992871795,0.910913091,0.989428554,0.953671229,0.82050834,0.329410608
0.6210923,0.736098692,0.679440421,0.908572187,0.589971266,0.780958886,0.972874377,0.898869973,0.995093022,0.946880114,0.836419323,0.432009871
0.621633152,0.728682682,0.702177209,0.908296933,0.59094759,0.793515976,0.968149279,0.907448452,0.989452992,0.955448401,0.833421567,0.427482541
0.641114275,0.735165164,0.690175873,0.910824707,0.591804109,0.778488631,0.992871795,0.91563217,0.983632181,0.95227052,0.831683853,0.413327809
0.650530914,0.738539621,0.685060304,0.905501654,0.588865302,0.806426759,0.967696999,0.907448452,0.99223629,0.955133509,0.827087262,0.380567785
0.649428586,0.736212417,0.691938323,0.904210498,0.590173147,0.790344114,0.968149279,0.913855236,0.989428554,0.967238557,0.825442532,0.430952723
0.647725085,0.727269277,0.692954165,0.903696706,0.59222009,0.809947903,0.982615386,0.884701412,0.983754967,0.942130697,0.815014997,0.316457863
0.203636,0.385075316,0.201701057,0.401838889,0.461858414,0.476849313,0.858000014,0.444396805,0.75799999,0.449593705,0.230230549,0.12886941
0.286694626,0.614715561,0.319077235,0.545531979,0.499769054,0.398588414,0.920155678,0.572978359,0.843144331,0.653018308,0.420846203,0.207862492
0.359098832,0.645508095,0.374622983,0.634465923,0.519930146,0.516849275,0.939520452,0.641246241,0.896351669,0.757947635,0.543989161,0.277693923
