file_transfer,p2p,streaming,voip,vpn_voip,vpn_file_transfer,vpn_streaming,vpn_p2p
0.98775506,0.985022068,0.965346575,0.95739913,0.963340163,0.96414727,0.941478491,0.964509428
0.98775506,0.984140992,0.965346575,0.959641278,0.962321818,0.963178277,0.945585251,0.965553284
0.98775506,0.98678416,0.966336668,0.954035938,0.960285187,0.963178277,0.942505181,0.967640936
0.98775506,0.988546252,0.96732676,0.955156982,0.962321818,0.965116262,0.940451801,0.967640936
0.98775506,0.988546252,0.966336668,0.961883485,0.965376854,0.967054248,0.945585251,0.968684793
0.98775506,0.98678416,0.965346575,0.961883485,0.962321818,0.968023241,0.950718701,0.967640936
0.98775506,0.98678416,0.969306946,0.959641278,0.961303532,0.968023241,0.951745391,0.968684793
0.98775506,0.989427328,0.971287131,0.961883485,0.965376854,0.968023241,0.946611941,0.969728649
0.98775506,0.989427328,0.971287131,0.961883485,0.96639514,0.968023241,0.947638631,0.969728649
0.988775492,0.988546252,0.970297039,0.960762382,0.963340163,0.968992233,0.955852211,0.969728649
0.989795864,0.98678416,0.970297039,0.958520234,0.963340163,0.968992233,0.956878901,0.969728649
0.988775492,0.988546252,0.971287131,0.960762382,0.967413485,0.968992233,0.955852211,0.970772445
0.98775506,0.988546252,0.971287131,0.961883485,0.967413485,0.968023241,0.955852211,0.971816301
0.98775506,0.988546252,0.970297039,0.964125633,0.967413485,0.968992233,0.956878901,0.972860157
0.988775492,0.990308404,0.971287131,0.964125633,0.96639514,0.968992233,0.957905591,0.970772445
0.989795864,0.99118948,0.973267376,0.963004529,0.967413485,0.969961226,0.958932281,0.970772445
0.990816295,0.99118948,0.973267376,0.961883485,0.967413485,0.969961226,0.958932281,0.971816301
0.990816295,0.99118948,0.973267376,0.963004529,0.96843183,0.969961226,0.959958971,0.971816301
0.990816295,0.990308404,0.974257469,0.963004529,0.96843183,0.969961226,0.963039041,0.972860157
0.990816295,0.990308404,0.975247562,0.963004529,0.967413485,0.969961226,0.962012351,0.972860157
0.990816295,0.99118948,0.975247562,0.963004529,0.967413485,0.969961226,0.962012351,0.972860157
0.990816295,0.99118948,0.975247562,0.963004529,0.96843183,0.969961226,0.962012351,0.972860157
0.990816295,0.99118948,0.976237655,0.965246677,0.96843183,0.970930219,0.962012351,0.972860157
0.990816295,0.99118948,0.976237655,0.965246677,0.96843183,0.972868204,0.960985661,0.972860157
0.990816295,0.99118948,0.975247562,0.963004529,0.967413485,0.973837197,0.960985661,0.972860157
0.990816295,0.99118948,0.975247562,0.964125633,0.969450176,0.970930219,0.962012351,0.972860157
0.990816295,0.99118948,0.974257469,0.966367781,0.974541783,0.972868204,0.963039041,0.972860157
0.990816295,0.99118948,0.976237655,0.968609929,0.970468462,0.973837197,0.962012351,0.972860157
0.990816295,0.99118948,0.979207933,0.967488825,0.96843183,0.972868204,0.962012351,0.972860157
0.991836667,0.990308404,0.977227747,0.967488825,0.974541783,0.972868204,0.963039041,0.972860157
0.991836667,0.990308404,0.97821784,0.965246677,0.976578474,0.971899211,0.964065731,0.972860157
0.990816295,0.99118948,0.977227747,0.968609929,0.971486807,0.971899211,0.964065731,0.972860157
0.990816295,0.99118948,0.977227747,0.971973121,0.970468462,0.972868204,0.962012351,0.972860157
0.991836667,0.99118948,0.977227747,0.969730973,0.976578474,0.975775182,0.964065731,0.973904014
0.991836667,0.990308404,0.977227747,0.967488825,0.978615105,0.975775182,0.966119111,0.973904014
0.990816295,0.99118948,0.976237655,0.973094225,0.974541783,0.975775182,0.965092421,0.972860157
0.990816295,0.99118948,0.976237655,0.974215269,0.973523498,0.973837197,0.965092421,0.972860157
0.990816295,0.99118948,0.977227747,0.974215269,0.976578474,0.975775182,0.964065731,0.972860157
0.991836667,0.99118948,0.977227747,0.969730973,0.976578474,0.975775182,0.964065731,0.972860157
0.991836667,0.990308404,0.977227747,0.969730973,0.974541783,0.975775182,0.965092421,0.973904014
0.990816295,0.990308404,0.97821784,0.971973121,0.973523498,0.975775182,0.966119111,0.973904014
0.989795864,0.990308404,0.981188178,0.974215269,0.973523498,0.976744175,0.965092421,0.97494781
0.989795864,0.990308404,0.982178271,0.975336373,0.975560129,0.977713168,0.964065731,0.97494781
0.989795864,0.990308404,0.982178271,0.975336373,0.975560129,0.977713168,0.966119111,0.97494781
0.990816295,0.990308404,0.980198026,0.974215269,0.976578474,0.976744175,0.968172491,0.97494781
0.990816295,0.990308404,0.980198026,0.974215269,0.978615105,0.976744175,0.967145801,0.97494781
0.990816295,0.990308404,0.982178271,0.971973121,0.978615105,0.977713168,0.964065731,0.97494781
0.990816295,0.990308404,0.982178271,0.970852077,0.97759676,0.977713168,0.964065731,0.97494781
0.991836667,0.990308404,0.982178271,0.973094225,0.97759676,0.977713168,0.966119111,0.975991666
0.991836667,0.990308404,0.982178271,0.975336373,0.97759676,0.977713168,0.967145801,0.97494781
0.991836667,0.990308404,0.983168364,0.974215269,0.978615105,0.977713168,0.965092421,0.972860157
0.991836667,0.990308404,0.983168364,0.973094225,0.978615105,0.977713168,0.965092421,0.973904014
0.991836667,0.990308404,0.981188178,0.971973121,0.978615105,0.977713168,0.967145801,0.97494781
0.991836667,0.989427328,0.981188178,0.973094225,0.978615105,0.977713168,0.96919924,0.97494781
0.990816295,0.990308404,0.982178271,0.973094225,0.978615105,0.976744175,0.967145801,0.97494781
0.990816295,0.990308404,0.981188178,0.975336373,0.979633451,0.976744175,0.966119111,0.97494781
0.990816295,0.992070496,0.981188178,0.977578521,0.980651796,0.977713168,0.967145801,0.97494781
0.990816295,0.992070496,0.979207933,0.976457477,0.980651796,0.97868216,0.967145801,0.973904014
0.990816295,0.99118948,0.982178271,0.976457477,0.978615105,0.977713168,0.967145801,0.975991666
0.989795864,0.99118948,0.982178271,0.977578521,0.979633451,0.976744175,0.968172491,0.975991666
0.990816295,0.99118948,0.982178271,0.974215269,0.979633451,0.977713168,0.96919924,0.97494781
0.990816295,0.990308404,0.981188178,0.973094225,0.980651796,0.977713168,0.96919924,0.97494781
0.991836667,0.990308404,0.980198026,0.971973121,0.979633451,0.979651153,0.96919924,0.97494781
0.990816295,0.99118948,0.981188178,0.971973121,0.979633451,0.977713168,0.968172491,0.975991666
0.990816295,0.99118948,0.980198026,0.973094225,0.979633451,0.976744175,0.967145801,0.975991666
0.990816295,0.992951572,0.981188178,0.975336373,0.980651796,0.976744175,0.966119111,0.977035522
0.992857099,0.992070496,0.984158456,0.974215269,0.979633451,0.976744175,0.968172491,0.977035522
0.991836667,0.990308404,0.984158456,0.973094225,0.979633451,0.97868216,0.968172491,0.977035522
0.991836667,0.990308404,0.983168364,0.974215269,0.980651796,0.97868216,0.968172491,0.978079379
0.991836667,0.99118948,0.984158456,0.975336373,0.979633451,0.977713168,0.968172491,0.978079379
0.991836667,0.99118948,0.983168364,0.975336373,0.979633451,0.976744175,0.96919924,0.979123175
0.990816295,0.992070496,0.983168364,0.975336373,0.980651796,0.977713168,0.97125262,0.979123175
0.991836667,0.992070496,0.982178271,0.975336373,0.981670082,0.97868216,0.97022593,0.979123175
0.990816295,0.99118948,0.981188178,0.975336373,0.981670082,0.980620146,0.97022593,0.981210887
0.991836667,0.990308404,0.981188178,0.977578521,0.981670082,0.980620146,0.97022593,0.979123175
0.991836667,0.990308404,0.983168364,0.977578521,0.981670082,0.976744175,0.97022593,0.977035522
0.991836667,0.990308404,0.983168364,0.978699625,0.981670082,0.976744175,0.96919924,0.977035522
0.991836667,0.99118948,0.982178271,0.977578521,0.981670082,0.980620146,0.96919924,0.977035522
0.991836667,0.992070496,0.981188178,0.976457477,0.981670082,0.980620146,0.96919924,0.977035522
