voip,file_transfer,chat,email,vpn_chat,vpn_voip,p2p,streaming,vpn_file_transfer,vpn_streaming,vpn_p2p,vpn_email
0.975132099,0.972941476,0.974357639,0.938362332,0.942084491,0.952486114,0.956513834,0.945135315,0.955846755,0.933835307,0.954727997,0.94711845
0.978166582,0.977752466,0.972061054,0.937651746,0.93479334,0.953968977,0.948289373,0.947422471,0.959618933,0.938038873,0.954452335,0.940727995
0.977162218,0.978245082,0.970651578,0.93465588,0.936380366,0.952174456,0.953422688,0.944549684,0.961252699,0.941554866,0.952566773,0.939735915
0.977370934,0.97874875,0.971874434,0.934829494,0.939247494,0.953076167,0.959434992,0.953679246,0.963917373,0.935308694,0.952515674,0.946283481
0.975823521,0.975141405,0.974082374,0.946235452,0.9466189,0.95851266,0.953787136,0.943314028,0.960124451,0.937906508,0.953950203,0.948006302
0.977572407,0.978220638,0.975510656,0.943229835,0.94510838,0.954550354,0.955029237,0.945716381,0.961782557,0.941507565,0.954179347,0.942628188
0.973353337,0.979701663,0.976690207,0.942842031,0.939556077,0.95952564,0.957986505,0.950559904,0.96489902,0.9463974,0.955153483,0.940508723
0.978731278,0.977947682,0.97545452,0.942955762,0.940528439,0.956154268,0.959591841,0.951923939,0.965837421,0.945641865,0.957220742,0.945599389
0.977581502,0.977704093,0.975013649,0.946507783,0.950146506,0.95778209,0.958016017,0.94675973,0.965152116,0.941594827,0.955385595,0.94736641
0.977968802,0.979133971,0.977251563,0.949296512,0.947140049,0.958267391,0.958077846,0.953012828,0.963785893,0.945666054,0.954200018,0.942827505
0.980372889,0.98077019,0.974171822,0.941039074,0.94226181,0.960035987,0.963921191,0.950445709,0.96374163,0.948010582,0.955383359,0.944363619
0.976330233,0.978211412,0.978997254,0.948791388,0.944911429,0.959627904,0.960633402,0.955646738,0.961883024,0.947086528,0.956323333,0.947723924
0.979828569,0.976638711,0.979505337,0.950981728,0.946728233,0.960787986,0.959665946,0.949549334,0.965364128,0.950532147,0.955671538,0.947118702
0.980431794,0.980086248,0.977952775,0.950029646,0.948885693,0.962864006,0.963238408,0.952856836,0.964145711,0.942602701,0.955123618,0.948889086
0.979352565,0.978523657,0.976714011,0.948424696,0.950565503,0.960444691,0.960933265,0.953860035,0.964798521,0.948099325,0.956989124,0.945167281
0.981427988,0.979456178,0.978527058,0.950662703,0.946074582,0.964909586,0.961275917,0.950982039,0.962444028,0.949601553,0.955984743,0.946514216
0.978324752,0.980883267,0.975585313,0.94805586,0.950138329,0.964841901,0.962667198,0.954728819,0.965929296,0.948160822,0.958345472,0.947485971
0.982423368,0.978910504,0.977032753,0.949958413,0.952455471,0.962225498,0.966181127,0.960755878,0.968625228,0.946510089,0.961662638,0.951395289
0.980462647,0.98069502,0.976901932,0.950281131,0.956647276,0.960774955,0.960641349,0.956250087,0.969503415,0.94477383,0.960146367,0.949794876
0.982225963,0.982386815,0.98055102,0.952869307,0.950168542,0.96324944,0.965341791,0.954225407,0.968603844,0.951478324,0.959802913,0.947636424
0.979131505,0.982390839,0.980929556,0.952568349,0.956506719,0.966583322,0.962778546,0.961498108,0.967649094,0.948362319,0.957254194,0.948327937
0.981265545,0.980235739,0.979954354,0.950701467,0.956990326,0.964241244,0.966352948,0.958780704,0.965531019,0.947826439,0.959415954,0.94867041
0.982906979,0.977980782,0.980768261,0.955303601,0.94946843,0.964923513,0.964412972,0.961285179,0.969679846,0.952975798,0.961923909,0.952613126
0.980000614,0.979375073,0.976658688,0.954314646,0.958481048,0.968514796,0.962575417,0.953367856,0.969317261,0.955249199,0.960532097,0.951386395
0.983225199,0.982115826,0.979886114,0.954848547,0.962004442,0.964016461,0.96750957,0.958210322,0.965305019,0.950827084,0.959974807,0.946535211
0.979297166,0.982063078,0.97823734,0.951447621,0.959936974,0.964968353,0.969497959,0.961728652,0.966717693,0.952361392,0.961010979,0.951932377
0.981095376,0.980556636,0.980590812,0.956112539,0.954497735,0.966484035,0.96238118,0.957784327,0.967357014,0.957565387,0.960729289,0.950725778
0.981206385,0.982666849,0.979388829,0.957702858,0.956308255,0.96951911,0.963589684,0.963973567,0.969816334,0.954537431,0.962853548,0.946156113
0.981772401,0.981319087,0.983080738,0.955757941,0.96182893,0.968992916,0.967306352,0.957114626,0.972721669,0.951792672,0.962485799,0.947104803
0.983586586,0.980353048,0.980274787,0.956222369,0.958740521,0.970945022,0.966897726,0.956832412,0.969405544,0.953718475,0.962726195,0.95351506
