ISCX-VPN,VNAT
0.832198725,0.865711215
0.830427931,0.865740123
0.832592235,0.865682307
0.829837666,0.865740123
0.829247401,0.865740123
0.822459386,0.864007297
0.830427931,0.865682307
0.83200197,0.865480188
0.832100318,0.865711215
0.829936014,0.86562455
0.830723033,0.865768972
0.832493828,0.865826729
0.83121495,0.865451279
0.830034421,0.860801581
0.833084092,0.865653458
0.831706808,0.86579788
0.825115547,0.86579788
0.827181504,0.86579788
0.82541071,0.865711215
0.830034421,0.865711215
0.834067867,0.865826729
0.833084092,0.865826729
0.832297073,0.865826729
0.831116543,0.863256398
0.826492832,0.865220252
0.829050646,0.865451279
0.829936014,0.865595701
0.830132768,0.865682307
0.831706808,0.865509036
0.832493828,0.865768972
0.83278893,0.864584866
0.830132768,0.865768972
0.821180508,0.864065054
0.831018195,0.865768972
0.828657136,0.865566793
0.828952239,0.864469352
0.83278893,0.865682307
0.832493828,0.865740123
0.826689587,0.865451279
0.83121495,0.865740123
0.830919788,0.865768972
0.829640911,0.865740123
0.831411705,0.865768972
0.831018195,0.865826729
0.831313298,0.865826729
0.831903563,0.865826729
0.828755484,0.865162495
0.826984749,0.865855637
0.829936014,0.865855637
0.833772705,0.865855637
0.827771769,0.865855637
0.832887337,0.865855637
0.83396946,0.865711215
0.833674357,0.865393522
0.83357595,0.865509036
0.834953234,0.865768972
0.832592235,0.865740123
0.819901572,0.865566793
0.832493828,0.865653458
0.829640911,0.86579788
0.831805215,0.865682307
0.832985685,0.865740123
0.832592235,0.865855637
0.833379195,0.865855637
0.830723033,0.865855637
0.831510053,0.865855637
0.83396946,0.865855637
0.832297073,0.857971373
0.826296077,0.865653458
0.824328528,0.865855637
0.833084092,0.865740123
0.834067867,0.865855637
0.833280847,0.86579788
0.830919788,0.86579788
0.83396946,0.86579788
0.830231176,0.865740123
0.827181504,0.865740123
0.83436297,0.865682307
0.83436297,0.865855637
0.832198725,0.865855637
0.83436297,0.865855637
0.832493828,0.865855637
0.83239548,0.865855637
0.831805215,0.865855637
0.834854887,0.86487371
0.830329523,0.865711215
0.826886342,0.865537944
0.830624686,0.86579788
0.831805215,0.865826729
0.835248397,0.865826729
0.836035416,0.865855637
0.836035416,0.865855637
0.83436297,0.862274471
0.834067867,0.865855637
0.835445152,0.86562455
0.834166215,0.865509036
0.82462369,0.865855637
0.830427931,0.865855637
0.831510053,0.865855637
0.832297073,0.865855637
0.835740254,0.865855637
0.835543499,0.865855637
0.836133764,0.865855637
0.835838661,0.852686349
0.83160846,0.865595701
0.829444156,0.86579788
0.824131773,0.865480188
0.828657136,0.865306917
0.83357595,0.864584866
0.835248397,0.865451279
0.834953234,0.865740123
0.835543499,0.864584866
0.834658132,0.866
0.834264622,0.866
0.831510053,0.866
0.828263626,0.866
0.832592235,0.866
0.834559725,0.866
0.834067867,0.866
0.830526278,0.865162495
0.834559725,0.865971151
0.83278893,0.865537944
0.833871112,0.865595701
